Bean,Aroma,Balance,Flavor,Body,AfterTaste
Honduras El Patricarca,7.38,7.9,7.68,7.67,7.63
Guatemala Esperanza de Mendez,7.43,7.81,7.73,7.73,7.69
Ethiopia Yirgacheffe Kochere Washed,7.14,7.03,6.76,6.76,6.76
Ethiopia Yirgacheffe Kochere Natural,7.17,6.97,6.78,6.66,6.66
El Salvador Santa Rosa Pacamara,7.84,7.92,7.7,7.95,7.71
2018 El Salvador Chalatenango Best Cup #13 Las Ventanas,7.74,7.67,7.71,7.73,7.69
2018 El Salvador Chalatenango Best Cup #2 La Roxanita,7.91,7.99,8.08,8.03,7.98
Colombia Cauca El Siloe,7.71,8.08,7.89,8.04,7.81
Colombia Cauca La Esperanza,7.81,8.13,7.95,8.02,7.99
Ethiopia Qawissa PCS Natural,7.38,7.69,7.6,7.81,7.64
Ethiopia Qawissa PCS Natural Plus,7.76,7.88,7.75,7.83,7.88
Costa Rica El Pilon,7.77,7.91,7.81,7.94,7.89
Colombia Huila El Jardin Geisha,8.4,8.43,8.3,8.34,8.26
2018 Mexico C.o.E #6 El Mirador,8.27,8.1,8.13,8.33,8.31
Ethiopia Sidama Bensa Washed,8.11,7.999166667,8.035333333,7.995666667,8.059833333
Ethiopia Sidamo Nansebo Washed,7.503333333,7.806666667,7.725,7.846333333,7.727333333
Ethiopia Yirgacheffe Reko Washed,7.681833333,7.853333333,7.841666667,7.887166667,7.806666667
Ethiopia Yirgacheffe Reko Natural,7.8825,7.935,7.887166667,8.010833333,7.963
2018 Honduras C.o.E #8 El Espejo,8.3935,8.3095,8.273333333,8.425,8.3515
Honduras La Pijuda Geisha,8.3935,8.3095,8.273333333,8.425,8.3515
2018 Ethiopia OCR #2 Bishan Dimo,8.383,8.311833333,8.261666667,8.331666667,8.342166667
Ethiopia Sidamo Werka Washed PCS,7.515,7.748333333,7.398333333,7.561666667,7.375
Ethiopia Sidamo Kambuta Natural,7.106666667,7.06,6.910666667,6.931666667,7.097333333
Rwanda Buliza Bourbon,7.919833333,8.0435,8.077333333,8.100666667,8.115833333
Kenya Thunguri AB,7.76,7.985166667,8.010833333,7.937333333,7.963
Colombia Huila Buena Vista Morales Pink Bourbon,7.725,7.865,7.9,7.823,7.6795
Colombia Huila Buena Vista Pink Bourbon,8.226666667,8.1835,8.031833333,8.112333333,8.1765
Colombia Huila Finca Providencia Pink Bourbon,7.573333333,7.635166667,7.7215,7.695833333,7.715666667
Ethiopia Kochere Onancho Washed PCS,7.876666667,7.468333333,7.41,6.896666667,7.5675
Ethiopia Guji Jigesa Washed PCS,7.853333333,7.69,7.561666667,7.141666667,7.573333333
Nicaragua Santa Gema Red Catuai,7.894166667,7.814833333,7.915166667,7.845166667,7.919833333
Honduras Banaderos,7.916333333,7.809,7.9665,7.809,7.9245
CostaRica Los Angeles Don Cayito,7.954833333,7.911666667,7.803166667,7.811333333,7.781
CostaRica Granitos de Ortiz 2000,7.967666667,7.961833333,8.059833333,8.014333333,8.002666667
CostaRica La Perla,8.203333333,7.984,7.951333333,8.005,7.914
Nicaragua La Bendicion Pacamara,7.59,7.45,7.6,7.49,7.53
Nicaragua La Bendicion Caturra Natural,7.89,7.73,7.63,7.72,7.87
Rwanda TABA Supreme Natural,8.11,7.81,7.75,8.04,7.76
Rwanda KABAYA Supreme Natural,8.08,7.81,7.94,8.18,7.71
CostaRica 'Hacienda Sonora' Catuai Honey,7.81,7.98,7.89,7.61,7.57
CostaRica 'Hacienda Sonora' Catuai Natural,7.99,8.08,7.94,7.91,7.76
Honduras Don Fabio Las Virginias Geisha,8.29,8.73,8.75,8.39,8.66
Ethiopia Guji Momora Washed,7.54,7.58,7.71,7.7,7.68
Ethiopia Guji Momora Natural,7.81,7.81,7.79,7.82,7.81
Ethiopia Yirgacheffe Chelba Washed,7.92,7.97,7.9,7.82,7.92
Ethiopia Yirgacheffe Chelba Natural,7.87,7.92,7.73,7.9,7.81
Colombia Finca El Danubio Mesa Alta,7.81,7.85,7.86,7.9,7.83
Colombia La Julia Colibri Geisha,8.19,8.33,8.47,8.3,8.5
Panama 'Lerida' Esplendorosa Washed Geisha,7.96,7.96,8.1,7.73,7.94
CostaRica Santa Teresa 2000,7.57,7.61,7.55,7.53,7.52
CostaRica Sumava de Lourdes Llano Bonito,7.61,7.71,7.81,7.87,7.84
Honduras El Plantel,7.53,7.6,7.52,7.46,7.54
Honduras Las Moras,7.83,7.76,7.69,7.84,7.81
Ethiopia Sidamo Gora Kone Natural,7.94,7.88,7.89,7.96,8
Ethiopia Guji Ye Genet Natural,8.01,7.87,7.84,7.84,8.02
2018 El Salvador C.o.E #4 Mileydi,8.37,8.23,8.43,8.31,8.2
Ethiopia Yirgacheffe Abaya Washed,7.12,7.11,7.34,7.47,7.31
Ethiopia Guji Hambela Washed,7.22,7.41,7.49,7.53,7.45
Ethiopia Sidamo Kebado Washed,7.28,7.4,7.37,7.48,7.4
Colombia Huila Suaza,7.76,7.81,7.94,8.04,8.06
Guatemala Huehuetenango Waykan,8.13,8.23,8.11,8.05,8.19
Burundi Smurf 2019,7.92,7.98,8,7.94,7.93
2018 Guatemala C.o.E #4 Finca La Soledad,8.31,8.15,8.31,8.4,8.33
Ethiopia Yirgacheffe Celinga Washed,7.67,7.84,7.88,7.57,7.7
Ethiopia Yirgacheffe Celinga Natural,7.46,7.67,7.9,7.47,7.67
CostaRica 'Hacienda Sonora' Cololado,7.43,7.57,7.46,7.49,7.49
CostaRica 'Hacienda Sonora' Villa Sarchi,7.57,7.59,7.43,7.53,7.46
CostaRica 'Hacienda Sonora' Bourbon Honey,7.61,7.61,7.42,7.45,7.43
2018 CostaRica C.o.E #9 La Pastora,8.13,8.19,8.08,8.11,8.1
Colombia Cauca El Paraiso Double Anaerobic Washed,8.48,8.43,8.45,8.66,8.51
Rwanda Muko Washed,7.666666667,7.398333333,7.34,7.608333333,7.701666667
Rwanda Kanyege Washed,7.223333333,7.001666667,6.908333333,6.99,6.966666667
Rwanda Karambi Washed,7.176666667,6.978333333,6.885,7.025,6.85
Zambia Isanya Estate Washed ,6.966666667,7.176666667,7.211666667,7.141666667,7.106666667
Zambia Isanya Estate Natura,7.246666667,7.316666667,7.433333333,7.433333333,7.34
"Ethiopia Guji Shakiso Tade GG Farm Over 2,000 Washed ",8.343333333,8.308333333,8.285,8.226666667,8.191666667
2018 Guatemala C.o.E #3 El Morito ,8.191666667,8.215,8.25,8.075,8.25
Peru El Diamante ,7.55,7.841666667,7.9,7.806666667,7.935
Peru San Ignacio ,7.48,7.631666667,7.818333333,7.666666667,7.585
